rank	score	lean	gate	band	deadline	value	candidate	title	hard	soft
13	12	12	0	MAYBE	2026-09-01T02:00:00+00:00		TED:584979-2026	Germany – Direct marketing services – Content-Marketing und Public Relations für das Lernlabor Cybersicherheit - PR1242887-2800-I		
14	12	12	0	LOW	2026-09-22T10:00:00+00:00	291500.0	IT-PVL:863fb0bb-a1fc-40ed-8954-a2764639b8ac	Servizio di fornitura del software del portale integrato con CRM per la gestione delle domande di ammissione di studenti internazionali UE e non-UE con titolo di studio conseguito all'estero, per l'accesso ai corsi di primo, secondo e terzo livello universitario dell'Università degli Studi Milano - Bicocca		
15	10	28	-18	MAYBE			TED:78208-2026	Germany – Business services: law, marketing, consulting, recruitment, printing and security – Rfp Regional Dissemination Hub Italy 2026-2028	minimum_reference,onsite	partner_allowed
16	6	18	-19	GOOD	2026-09-02T03:00:00+00:00	146000.0	TED:534052-2026	Lithuania – Software maintenance and repair services – Lietuvos Respublikos miškų valstybės kadastro vystymo ir konsultavimo paslaugos	onsite,multi_references	partner_allowed
17	5	16	-16	GOOD	2027-07-01T12:00:00+01:00	750000.0	TED:484705-2026	Ireland – Education and training services – 2024/37 - Readvertisement Year 3 of Panel for suitable Service Providers for the provision of Environmental and Energy Management Training Courses and Demonstration in 2 Lots	onsite,multi_references	partner_allowed,electronic
18	-1	16	-22	GOOD	2026-09-09T12:00:00+01:00	1.0	TED:507491-2026	Ireland – Education and training services – Higher Diploma Programme in Intellectual Disability Nursing for Registered Nurses	numeric_turnover,onsite	partner_allowed
19	-2	28	-30	MAYBE	2036-04-03T12:00:00+00:00	10000000.0	TED:158922-2026	Ireland – Printing machinery – GALW/COSE1816/25 Establishment of Dynamic Purchasing Systems for the provision of 3D Printing Equipment and associated research services in 5 Lots.	minimum_reference,onsite,multi_references	partner_allowed,electronic
20	-7	12	-19	MAYBE	2026-08-28T03:00:00+00:00	210000.0	TED:519564-2026	Estonia – Software programming and consultancy services – Tehniline tugi ja nõustamisteenused riikliku elektrooniliste teenuste veebiportaali tarkvara uuendamiseks ja seadistamiseks (Ukraina)	onsite,multi_references	partner_allowed
21	-7	12	-19	MAYBE	2026-09-03T23:59:59+02:00	500000.0	TED:497098-2026	Germany – Marketing services – DE_313_ter Communication Services	onsite,multi_references	partner_allowed
22	-7	12	-19	MAYBE	2026-08-27T00:00:00+00:00	274000.0	TED:529332-2026	Portugal – Laundry-collection services – Fornecimento e tratamento de roupas de cama e atoalhados em regime de aluguer nas Pousadas de Juventude de Coimbra, Évora, Guarda, Portalegre e Santa Cruz, sob gestão direta da Movijovem	onsite,multi_references	partner_allowed
23	-10	12	-22	LOW	2026-08-31T00:00:00+00:00	508220.0	TED:580624-2026	Portugal – Computer-related services – (DAG) Aquisição de serviços de desenvolvimento de novas funcionalidades no Portal Licenciamento+, do INFARMED, I.P. (PRR) (20260251)	numeric_turnover,onsite	partner_allowed
24	-10	12	-22	LOW	2026-08-31T00:00:00+00:00	611735.0	TED:580879-2026	Portugal – Computer-related services – (DAG) Aquisição de serviços de desenvolvimento de novas funcionalidades no Portal Inspeção+, do INFARMED, I.P. (PRR) (20260268)	numeric_turnover,onsite	partner_allowed
25	-25	12	-43	GOOD	2026-08-28T12:00:00+01:00	850000.0	TED:536621-2026	Ireland – Public relations services – Public Relations Agency Services - USA (West Coast)	numeric_turnover,minimum_reference,onsite,high_insurance	partner_allowed,electronic
