rank	lean	postdce	deadline	value	candidate_id	title	run	shard
16	9	54	2026-08-26T02:00:00+00:00		TED:578098-2026	Slovenia – IT services: consulting, software development, Internet and support – VZDRŽEVANJE, PODPORA IN NADGRADNJA bolnišnične programske opreme Birpis21 v Splošni bolnišnici Celje	32334282353	6
17	8	53	2026-09-08T02:00:00+00:00	10000000.0	TED:573053-2026	Czechia – IT services: consulting, software development, Internet and support – Provozní a odborná podpora procesu řízení konfigurací	32262216923	8
18	8	53	2026-08-28T14:00:00+00:00		US-SAM:6092b064705943d08069ff7ce87cb428	Academic Instructor and Tutor services in support of Naval Service Training Command�s Future Sailor Preparatory Program at Recruit Training Command (RTC) Great Lakes Illinois	32769327348	1
19	7	50	2026-09-01T12:00:00+02:00	938170.0	TED:539478-2026	Germany – Foreign economic-aid-related services – 10016823 - Technical Assistance for Digital Public Infrastructure Projects in the East African Community	32793633927	2
20	6	51	2026-09-15T02:00:00+00:00	11244859.5	TED:491997-2026	Spain – IT services: consulting, software development, Internet and support – Implantación nuevo sistema tributario (fase 2), mantenimiento de la fase 1, y evolutivos de la fase 1	32262216923	14
21	6	51			TED:255327-2024	Austria – IT services: consulting, software development, Internet and support – Prüfsystem IT-Dienstleistungen	32240112846	40
22	6	51	2028-10-01T22:00:00+00:00	3000000.0	TED:587817-2024	Norway – IT services: consulting, software development, Internet and support – Dynamic purchasing system - Courses and competence development	32240112846	37
23	6	51	2030-03-01T11:00:00+00:00		TED:76179-2026	Norway – IT services: consulting, software development, Internet and support – Dynamic purchasing system - Consultancy services ICT	32240112846	30
24	6	51			TED:51222-2025	Austria – IT services: consulting, software development, Internet and support – Prüfsystem über Dienstleistungen im Bereich Testressourcen	32240112846	29
25	6	51			TED:429330-2025	Austria – IT services: consulting, software development, Internet and support – Prüfsystem über Betriebsunterstützung im Bereich S/4 HANA	32240112846	25
26	6	51			TED:427751-2025	Austria – IT services: consulting, software development, Internet and support – Prüfsystem über Dienstleistungen im Bereich IT-Einkauf und IT-Koordination	32240112846	24
27	6	51	2026-09-04T02:00:00+00:00		TED:520443-2026	Poland – Software development services – Zadanie cz. nr 1: "Aktualizacja bazy EGIB oraz uruchomienia e-usług" dla projektu: "Zarządzanie Miastem w oparciu o bazy danych przestrzennych wraz z rozwojem e-usług" współfinansowanego ze środków EFRR w ramach programu regionalnego Fundusze Europejskie dla Łódzkiego 2021-2027. Zadanie cz. nr 2: "Dostosowanie atrybutów wybranych obiektów w bazie danych EGiB do obowiązujących przepisów prawa" .	32240112846	20
28	6	51			TED:377430-2024	Austria – IT services: consulting, software development, Internet and support – Prüfsystem über Dienstleistungen im Bereich Fabasoft (Entwicklung, Betrieb, Support und Beratung)	32240112846	18
29	6	51	2036-03-31T12:00:00+02:00		TED:204636-2026	Austria – IT services: consulting, software development, Internet and support – Dynamisches Beschaffungssystem - IT-Entwicklungs- und Betriebsunterstützung	32240112846	16
30	6	51			TED:339682-2024	Austria – IT services: consulting, software development, Internet and support – Prüfsystem über Dienstleistungen im Bereich Cloudlösungen mit MS Azure	32240112846	10
31	6	51	2026-09-03T10:00:00+03:00	434000.0	TED:514540-2026	Cyprus – IT services: consulting, software development, Internet and support – Διαγωνισμός για Παροχή Υπηρεσιών Oracle	32213968608	24
32	6	51			TED:426610-2026	Latvia – Software development services – Darba laika plānošanas rīka ieviešana un uzturēšana	32619130037	0
33	5	50	2026-09-21T10:00:00+00:00	55000000.0	TED:579186-2026	Norway – IT services: consulting, software development, Internet and support – Licence partner (LSP) for Microsoft - qualification	32535118797	0
34	5	50	2028-10-22T22:00:00+00:00	25000000.0	TED:637648-2024	Norway – IT services: consulting, software development, Internet and support – Dynamic Purchasing System - Architecture	32262216923	15
35	5	50		108000000.0	TED:158042-2025	France – IT services: consulting, software development, Internet and support – SYMPUL (Phase 1)	32262216923	13
36	5	50	2026-09-08T14:00:00+01:00		IE:8841473	Preliminary Market Consultation - Digital Marketing Expertise to Support Delivery of Stop Food Waste	31975449482	3
37	4	55	2026-09-18T13:00:00+01:00	160000.0	IE:8840246	Supply, Installation and Support of a Learning Management System for Clare Tourism Development DAC	31975449482	1
